file_name,file_path,file_size_mb,page_count,inventory_timestamp,title,author,subject,creator,producer,creation_date,modification_date
GSR-23-E.pdf,/home/manu/mining_gpt/data/raw_pdfs/GSR-23-E.pdf,0.17,16,2026-06-01T15:13:35.610232,Microsoft Word - GSR 23 E,NCM,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2012-05-29 17:32:51,2012-05-29 17:32:51
GSR-719-E.pdf,/home/manu/mining_gpt/data/raw_pdfs/GSR-719-E.pdf,0.05,9,2026-06-01T15:13:35.612573,Microsoft Word - GSR 719 E,NCM,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2012-05-29 17:33:19,2012-05-29 17:33:19
Guidelines_040714.pdf,/home/manu/mining_gpt/data/raw_pdfs/Guidelines_040714.pdf,0.24,2,2026-06-01T15:13:35.614133,,,,Canon , ,2014-07-14 12:29:25+05:30,
H1927-16.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1927-16.pdf,0.52,22,2026-06-01T15:13:35.629520,"भारतीय वन अधिनियम, 1927",pc,,Microsoft® Word 2016,Microsoft® Word 2016,2023-08-11 13:14:28+05:30,2023-08-11 13:14:28+05:30
H1948-46.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1948-46.pdf,0.52,13,2026-06-01T15:13:35.639492,कोयला खान भविष्य-निधि और प्रकीर्ण उपबंध,pc,,Microsoft® Word 2016,Microsoft® Word 2016,2024-01-18 15:01:50+05:30,2024-01-18 15:01:50+05:30
H195767H.pdf,/home/manu/mining_gpt/data/raw_pdfs/H195767H.pdf,0.93,32,2026-06-01T15:13:35.674873,,FB2016HINDI,,Microsoft® Word 2016,Microsoft® Word 2016,2024-02-07 12:00:28+05:30,2024-02-07 12:00:28+05:30
H1961-52.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1961-52.pdf,0.46,14,2026-06-01T15:13:35.684308,"शिक्षु अधिनियम, 1961",FB2016HINDI,,Microsoft® Word 2016,Microsoft® Word 2016,2024-04-12 16:57:34+05:30,2024-04-12 16:57:34+05:30
H1986-27.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1986-27.pdf,0.22,2,2026-06-01T15:13:35.688543,,FB2016HINDI,,Microsoft® Word 2016,Microsoft® Word 2016,2024-04-30 15:11:00+05:30,2024-04-30 15:11:00+05:30
H1986-61.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1986-61.pdf,0.43,8,2026-06-01T15:13:35.695487,बालक श्रम (प्रतिषेध और विनियमन),FB2016HINDI,,Microsoft® Word 2016,Microsoft® Word 2016,2024-04-30 15:21:20+05:30,2024-04-30 15:21:20+05:30
H1987-16.pdf,/home/manu/mining_gpt/data/raw_pdfs/H1987-16.pdf,1.18,39,2026-06-01T15:13:35.735428,"गोवा, दमण और दीव खनन रियायत (उत्‍सादन और खनन पट्टा के रूप में घोषणा) अधिनियम, 1987",PC,,Microsoft® Word 2016,Microsoft® Word 2016,2023-09-21 16:37:54+05:30,2023-09-21 16:37:54+05:30
H2001-52.pdf,/home/manu/mining_gpt/data/raw_pdfs/H2001-52.pdf,0.56,21,2026-06-01T15:13:35.738752,"Microsoft Word - H2001-52 à¤−à¤°à¥“à¤œà¤¾ à¤¸à¤‡à¤°à¤Łà¥“à¤·à¤£ à¤–à¤§à¤¿à¤¨à¤¿à¤¯à¤®, 2001.doc",HP,,,Microsoft: Print To PDF,2024-07-08 17:13:02+05:30,2024-07-08 17:13:02+05:30
H2003-17.pdf,/home/manu/mining_gpt/data/raw_pdfs/H2003-17.pdf,0.44,16,2026-06-01T15:13:35.745120,"अपतट क्षेत्र खनिज (विकास और विनियमन) अधिनियम, 2002",PC,,Microsoft® Word 2016,Microsoft® Word 2016,2023-09-22 11:45:00+05:30,2023-09-22 11:45:00+05:30
H2015-11.pdf,/home/manu/mining_gpt/data/raw_pdfs/H2015-11.pdf,1.01,23,2026-06-01T15:13:35.768316,"कोयला खान (विशेष उपंबध) अधिनियम, 2015",pc,,Microsoft® Word 2016,Microsoft® Word 2016,2023-08-11 16:10:15+05:30,2023-08-11 16:10:15+05:30
MAR.pdf,/home/manu/mining_gpt/data/raw_pdfs/MAR.pdf,0.26,24,2026-06-01T15:13:35.774195,Microsoft Word - 2241gi.doc,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-05-21 23:11:27,2015-05-21 23:11:27
